2.000000000000000000e+00 5.948322651931439164e-01
3.000000000000000000e+00 4.191138260265933058e-01
4.000000000000000000e+00 3.219746953937870360e-01
6.000000000000000000e+00 2.185092978980246459e-01
7.000000000000000000e+00 1.878445161550597597e-01
9.000000000000000000e+00 1.462845017587067753e-01
1.100000000000000000e+01 1.194953975949867575e-01
1.300000000000000000e+01 1.008303515064687544e-01
1.600000000000000000e+01 8.151718860242672393e-02
2.100000000000000000e+01 6.157601806227521596e-02
2.700000000000000000e+01 4.743454331238533550e-02
3.200000000000000000e+01 3.973536534156957983e-02
4.100000000000000000e+01 3.066303530202120833e-02
5.100000000000000000e+01 2.438942112233643059e-02
6.400000000000000000e+01 1.921103071193429324e-02
8.100000000000000000e+01 1.499064560830919504e-02
1.020000000000000000e+02 1.175555084425528550e-02
1.470000000000000000e+02 7.991536340665864047e-03
1.620000000000000000e+02 7.211555774459702667e-03
2.360000000000000000e+02 4.844053879633954292e-03
2.690000000000000000e+02 4.217503473885194157e-03
3.240000000000000000e+02 3.463606025533695967e-03
4.420000000000000000e+02 2.492843366540486560e-03
5.540000000000000000e+02 1.962405740976799415e-03
6.640000000000000000e+02 1.619752930396695361e-03
9.240000000000000000e+02 1.141236231374888332e-03
1.032000000000000000e+03 1.015066470168319223e-03
