2.000000000000000000e+00 5.843335439039797352e-01
3.000000000000000000e+00 4.200884396715097724e-01
4.000000000000000000e+00 3.335439039797852279e-01
6.000000000000000000e+00 2.391029690461149715e-01
7.000000000000000000e+00 1.955148452305748574e-01
9.000000000000000000e+00 1.462413139608338686e-01
1.100000000000000000e+01 1.152874289324068158e-01
1.300000000000000000e+01 9.759949463044852169e-02
1.600000000000000000e+01 8.149084017687933945e-02
2.100000000000000000e+01 5.780164245104232185e-02
2.700000000000000000e+01 4.579911560328490255e-02
3.200000000000000000e+01 4.074542008843966973e-02
4.100000000000000000e+01 2.558433354390397818e-02
5.100000000000000000e+01 2.116234996841440466e-02
6.400000000000000000e+01 1.579279848389134391e-02
8.100000000000000000e+01 1.295009475679090305e-02
1.020000000000000000e+02 1.137081490840176866e-02
1.470000000000000000e+02 7.580543272267845772e-03
1.620000000000000000e+02 6.632975363234365485e-03
2.360000000000000000e+02 5.685407454200884329e-03
2.690000000000000000e+02 4.737839545167404041e-03
3.240000000000000000e+02 3.790271636133922886e-03
4.420000000000000000e+02 2.526847757422615113e-03
5.540000000000000000e+02 1.895135818066961443e-03
6.640000000000000000e+02 1.579279848389134608e-03
9.240000000000000000e+02 1.263423878711307556e-03
1.032000000000000000e+03 3.158559696778268891e-04
